Customer_ID,Product_ID,Transaction_ID,Purchase_Frequency,Average_Order_Value,Most_Frequent_Category,Time_Between_Purchases,Region,Churn_Probability,Lifetime_Value,Launch_Date,Peak_Sales_Date,Season,Preferred_Purchase_Times,Retention_Strategy,Sales Amount,Cost,Profit,Units Sold,Sales Date,Profit Margin
CUST_9HOS83,PROD_IK97D1,TRANS_II1DZG,17,172.57,Electronics,45,South America,0.98,952.81,2020-03-14,2023-09-11,Winter,Afternoon,Loyalty Program,1935.2465823520763,1525.881232943459,409.36534940861725,854,2023-05-05,21.15313640864718
CUST_AJU17N,PROD_UNN7KP,TRANS_9HJF7I,10,64.89,Clothing,6,South America,0.66,5427.51,2022-10-15,2023-01-02,Spring,Afternoon,Discount,4758.500101408589,1365.002780114043,3393.497321294546,258,2023-01-31,71.31443204740121
CUST_11XNYF,PROD_0XEW2W,TRANS_OT96OM,3,120.38,Sports,23,Asia,0.6,3994.8,2021-11-30,2023-04-06,Winter,Evening,Loyalty Program,3686.770314875885,745.8079543862972,2940.962360489588,388,2023-08-25,79.77069655310478
CUST_IGH8G3,PROD_3IIAJN,TRANS_45V00G,12,70.34,Clothing,5,North America,0.78,4880.01,2022-03-20,2023-03-23,Spring,Evening,Discount,3033.4265725654795,2448.7033469008775,584.7232256646021,45,2023-08-15,19.275997347451213
CUST_OK6PUM,PROD_VMIWD2,TRANS_ZAK760,18,42.39,Electronics,10,North America,0.52,8557.7,2022-11-09,2023-10-28,Spring,Morning,Discount,864.4913381679389,1932.665434009084,-1068.1740958411451,269,2023-12-14,-123.56099461966363
CUST_63F5GB,PROD_L0NAD5,TRANS_HI4MBV,12,132.9,Electronics,42,Europe,0.25,8215.33,2020-12-26,2023-12-09,Winter,Evening,Loyalty Program,864.373149647393,3469.5189196798146,-2605.1457700324218,311,2023-02-07,-301.39133441328534
CUST_P9K9F2,PROD_CVVCB0,TRANS_X0MXCI,16,128.43,Clothing,38,Europe,0.94,7031.07,2022-03-15,2023-09-06,Summer,Afternoon,Email Campaign,384.6096996241774,176.8328429041301,207.77685672004728,672,2023-02-27,54.02278125670702
CUST_EMHZQV,PROD_PVOV5L,TRANS_9B8B46,10,67.52,Electronics,56,Asia,0.56,5167.16,2021-02-17,2023-06-12,Summer,Afternoon,Discount,4344.263114297182,2593.278313842749,1750.9848004544333,278,2023-08-24,40.30568025891104
CUST_8E2Q1K,PROD_MG36BV,TRANS_AZ1OW8,7,165.26,Electronics,73,Europe,0.17,9943.51,2021-03-28,2023-02-05,Winter,Evening,Loyalty Program,3045.4635575417233,3063.6480701206665,-18.184512578943213,857,2023-06-30,-0.5971016311757027
CUST_4VB1T5,PROD_DKK6UZ,TRANS_AC3353,6,52.86,Home,60,North America,0.59,9978.11,2021-08-16,2023-10-06,Winter,Evening,Loyalty Program,3569.555631200623,3049.9719482938126,519.5836829068103,475,2023-04-24,14.555976614154853
CUST_67Z31H,PROD_ALVKE7,TRANS_IH0DSW,8,138.72,Electronics,88,Europe,0.45,2758.76,2020-03-22,2023-08-05,Fall,Morning,Loyalty Program,200.86402204943198,3549.9921700273244,-3349.1281479778922,567,2023-11-02,-1667.3608911175158
CUST_FX276G,PROD_K192VJ,TRANS_HEH3CY,13,54.53,Electronics,53,Asia,0.73,9395.6,2021-07-29,2023-12-26,Fall,Morning,Email Campaign,4852.558275593772,2929.6832841765017,1922.8749914172704,145,2023-05-12,39.626005134002895
CUST_H605W3,PROD_2Y2RID,TRANS_6G3IVM,5,172.68,Electronics,23,Europe,0.86,6589.81,2021-08-05,2023-04-11,Spring,Afternoon,Email Campaign,4178.968939922066,3714.8497435084005,464.1191964136656,966,2023-12-14,11.10606953738979
CUST_7KEA4I,PROD_M35YA3,TRANS_QHURYI,18,30.56,Clothing,83,North America,0.55,1005.72,2021-05-15,2023-11-28,Summer,Morning,Loyalty Program,1140.4616423235532,1363.9935692925212,-223.53192696896804,235,2023-06-29,-19.600126709526915
CUST_7I11M9,PROD_ELE4RZ,TRANS_W2RL1O,18,95.85,Electronics,13,Asia,0.34,6299.37,2020-08-05,2023-08-06,Spring,Morning,Discount,990.942339314793,2037.6771961685952,-1046.7348568538023,691,2023-03-19,-105.63024863561567
CUST_WQB3QG,PROD_IBLABI,TRANS_Y8I3QE,10,108.6,Home,7,Europe,0.89,7317.6,2021-02-13,2023-10-25,Summer,Morning,Loyalty Program,998.6820982818257,105.61466996741817,893.0674283144075,720,2023-08-08,89.42459565970772
